order_id,customer_id,order_date,order_status,payment_method
69,278,2022-03-08,Shipped,Net Banking
70,409,2023-04-06,Delivered,UPI
71,1206,2025-07-08,Cancelled,UPI
72,612,2025-11-01,Cancelled,Wallet
73,728,2024-01-25,Delivered,Debit Card
74,1927,2025-07-30,Delivered,Debit Card
75,1137,2025-10-15,Returned,Net Banking
76,418,2025-07-22,Cancelled,Net Banking
77,929,2025-11-12,Delivered,Credit Card
78,1975,2025-05-17,Returned,UPI
79,562,2024-01-26,Delivered,Wallet
80,373,2025-05-24,Cancelled,Wallet
81,1327,2024-02-26,Cancelled,Net Banking
82,1964,2024-09-15,Shipped,Net Banking
83,922,2024-12-03,Returned,UPI
84,542,2022-10-18,Delivered,Net Banking
85,492,2022-12-02,Cancelled,Wallet
86,1551,2024-11-16,Cancelled,Net Banking
87,1797,2024-12-27,Cancelled,UPI
88,1765,2023-10-29,Returned,Net Banking
89,760,2025-01-31,Cancelled,Credit Card
90,1778,2025-06-06,Returned,Wallet
91,1770,2022-08-31,Returned,Debit Card
92,642,2024-12-07,Cancelled,Net Banking
93,1177,2021-09-08,Delivered,Debit Card
94,254,2024-09-07,Returned,Net Banking
95,1181,2025-09-08,Cancelled,Credit Card
96,744,2022-09-21,Shipped,Net Banking
97,388,2024-05-27,Cancelled,Debit Card
98,915,2024-12-23,Shipped,Credit Card
99,1998,2025-01-03,Delivered,Wallet
100,1489,2025-01-31,Cancelled,Debit Card
101,1306,2024-06-08,Shipped,Credit Card
102,1231,2024-10-22,Delivered,Debit Card
103,662,2025-01-13,Returned,UPI
104,1789,2025-02-01,Cancelled,Debit Card
105,276,2022-11-15,Delivered,Net Banking
106,1187,2022-04-04,Delivered,Credit Card
107,21,2024-01-14,Returned,Credit Card
108,1687,2024-09-01,Delivered,Credit Card
109,1271,2025-03-10,Returned,Credit Card
110,723,2024-02-04,Shipped,Credit Card
111,487,2024-02-29,Delivered,UPI
112,255,2023-03-07,Shipped,UPI
113,1114,2024-10-16,Shipped,Wallet
114,1159,2025-11-04,Delivered,Debit Card
115,1601,2025-02-01,Returned,Credit Card
116,290,2025-10-15,Returned,Wallet
117,163,2024-06-22,Delivered,Credit Card
118,1286,2025-04-21,Cancelled,Wallet
119,835,2022-11-28,Shipped,Net Banking
120,1879,2025-02-01,Returned,UPI
121,1777,2025-09-29,Returned,UPI
122,926,2023-12-10,Returned,Net Banking
123,392,2025-07-29,Delivered,Net Banking
124,1192,2025-07-01,Shipped,UPI
125,37,2025-09-18,Delivered,Net Banking
126,1489,2022-01-24,Delivered,Debit Card
127,1029,2022-05-23,Returned,UPI
128,773,2024-04-21,Returned,Wallet
129,425,2025-02-18,Cancelled,Debit Card
130,1239,2025-05-11,Delivered,UPI
131,121,2025-04-07,Returned,Credit Card
132,1825,2024-10-23,Returned,UPI
133,731,2025-09-11,Returned,Wallet
134,1044,2024-04-16,Returned,Credit Card
135,255,2022-05-26,Cancelled,Debit Card
136,503,2025-05-26,Returned,UPI
137,1649,2025-07-09,Shipped,Wallet
138,1364,2025-10-28,Cancelled,Wallet
139,1832,2025-03-01,Shipped,Credit Card
140,218,2024-05-31,Cancelled,Debit Card
141,1046,2025-09-26,Delivered,UPI
142,1219,2025-11-13,Returned,Wallet
143,209,2023-11-27,Delivered,Net Banking
144,1365,2021-06-24,Shipped,Net Banking
145,808,2025-04-06,Shipped,UPI
146,303,2024-05-24,Shipped,Credit Card
147,980,2024-10-29,Shipped,UPI
148,1140,2022-09-16,Cancelled,UPI
149,1036,2025-02-08,Shipped,Net Banking
150,1547,2021-03-15,Delivered,Credit Card
151,139,2025-01-29,Shipped,Credit Card
152,315,2025-02-10,Delivered,Credit Card
153,738,2025-05-30,Shipped,Debit Card
154,1833,2024-12-18,Delivered,Wallet
155,929,2025-10-27,Shipped,Wallet
156,1485,2024-10-21,Returned,Credit Card
157,1671,2025-10-16,Cancelled,Debit Card
158,1319,2025-07-18,Delivered,Net Banking
159,1022,2025-01-18,Shipped,UPI
160,1852,2024-03-06,Cancelled,UPI
161,1638,2023-05-20,Returned,Debit Card
162,558,2024-02-05,Cancelled,Credit Card
163,42,2022-11-13,Shipped,Debit Card
164,398,2024-10-19,Shipped,Wallet
165,1493,2024-06-18,Delivered,UPI
166,373,2024-10-21,Returned,Debit Card
167,603,2024-03-23,Returned,Wallet
168,1977,2025-01-24,Cancelled,Credit Card
169,1676,2024-01-16,Delivered,Net Banking
170,1600,2023-07-31,Returned,Wallet
171,789,2025-11-18,Shipped,Wallet
172,882,2023-03-11,Delivered,Net Banking
173,1048,2025-07-02,Returned,UPI
174,986,2023-09-11,Shipped,Debit Card
175,1943,2024-08-09,Shipped,Net Banking
176,1410,2022-02-13,Cancelled,Net Banking
177,1035,2025-01-13,Shipped,Credit Card
178,1741,2025-01-20,Cancelled,Wallet
179,1064,2024-01-18,Returned,Net Banking
180,1403,2025-03-12,Delivered,Debit Card
181,368,2025-09-17,Returned,Net Banking
182,1080,2022-10-16,Delivered,UPI
183,1501,2025-04-28,Returned,Debit Card
184,653,2023-08-01,Cancelled,Wallet
185,932,2024-05-25,Cancelled,Credit Card
186,1949,2024-09-28,Shipped,Debit Card
187,1851,2024-02-20,Shipped,UPI
188,1284,2024-12-08,Shipped,Debit Card
189,1175,2025-05-15,Returned,UPI
190,1891,2023-03-17,Delivered,Wallet
191,1749,2025-10-05,Cancelled,UPI
192,252,2025-09-26,Shipped,Credit Card
193,1373,2024-11-26,Delivered,UPI
194,1800,2023-08-21,Cancelled,Net Banking
195,1978,2024-01-05,Delivered,Credit Card
196,1002,2024-11-11,Shipped,Credit Card
197,1950,2022-06-27,Shipped,Net Banking
198,1177,2023-08-31,Returned,UPI
199,1399,2023-04-18,Shipped,Wallet
200,323,2024-07-14,Cancelled,Debit Card
201,1966,2025-11-17,Delivered,Net Banking
202,1542,2025-09-18,Delivered,UPI
203,800,2023-08-04,Shipped,Wallet
204,209,2023-08-26,Cancelled,Debit Card
205,169,2025-05-04,Shipped,Wallet
206,720,2025-03-05,Returned,UPI
207,245,2025-03-05,Returned,Debit Card
208,1670,2024-06-02,Delivered,Net Banking
209,534,2025-06-17,Returned,UPI
210,325,2025-06-21,Returned,Net Banking
211,1426,2024-11-25,Delivered,Net Banking
212,180,2024-01-05,Cancelled,Debit Card
213,476,2022-07-28,Delivered,Wallet
214,478,2024-09-25,Returned,UPI
215,896,2025-11-10,Cancelled,Credit Card
216,735,2024-02-20,Cancelled,Net Banking
217,121,2023-11-23,Delivered,Net Banking
218,26,2025-09-18,Delivered,Credit Card
219,437,2025-10-02,Delivered,Wallet
220,813,2025-10-01,Cancelled,Net Banking
221,266,2025-10-30,Returned,Net Banking
222,447,2024-12-07,Returned,Wallet
223,562,2025-08-17,Returned,Net Banking
224,315,2023-10-13,Cancelled,UPI
225,1588,2025-03-31,Returned,Debit Card
226,1441,2023-05-13,Returned,Wallet
227,608,2024-07-02,Shipped,Net Banking
228,1430,2025-05-29,Returned,UPI
229,419,2025-07-22,Returned,UPI
230,846,2025-10-29,Delivered,UPI
231,153,2025-11-13,Shipped,Net Banking
232,395,2025-02-23,Cancelled,Wallet
233,1025,2024-06-04,Cancelled,Wallet
234,992,2024-08-31,Cancelled,Credit Card
235,1658,2023-08-13,Shipped,Wallet
236,666,2025-10-10,Delivered,Net Banking
237,286,2024-02-19,Shipped,Net Banking
238,928,2025-09-03,Cancelled,Net Banking
239,1528,2025-03-19,Returned,Debit Card
240,37,2025-01-30,Cancelled,Debit Card
241,1540,2025-11-18,Cancelled,Net Banking
242,188,2023-08-28,Returned,Debit Card
243,1569,2024-07-02,Cancelled,Debit Card
244,982,2024-06-11,Cancelled,UPI
245,241,2024-09-03,Returned,Net Banking
246,649,2025-11-10,Returned,Net Banking
247,1230,2024-08-11,Returned,UPI
248,1291,2024-12-18,Delivered,Credit Card
249,803,2024-12-09,Shipped,Net Banking
250,801,2024-05-04,Shipped,UPI
251,302,2023-07-12,Delivered,Credit Card
252,1649,2024-12-14,Cancelled,Credit Card
253,1133,2025-05-16,Cancelled,Debit Card
254,636,2021-12-13,Returned,UPI
255,831,2024-10-30,Cancelled,Debit Card
256,605,2024-08-30,Delivered,Debit Card
257,369,2025-08-27,Returned,Net Banking
258,528,2021-12-15,Cancelled,Wallet
259,1179,2023-09-26,Shipped,UPI
260,1625,2023-06-04,Cancelled,Credit Card
261,205,2024-11-28,Returned,Debit Card
262,414,2024-11-20,Cancelled,Wallet
263,959,2022-02-21,Shipped,Debit Card
264,1725,2025-01-24,Delivered,Credit Card
265,493,2023-04-14,Returned,Credit Card
266,1622,2025-04-08,Delivered,Wallet
267,1269,2025-11-15,Shipped,UPI
268,1014,2025-06-27,Returned,Net Banking
269,803,2025-03-17,Returned,Wallet
270,388,2024-08-02,Shipped,Debit Card
271,843,2024-12-05,Shipped,Credit Card
272,1332,2025-11-15,Shipped,Wallet
273,344,2025-08-07,Delivered,UPI
274,1099,2024-08-20,Shipped,Net Banking
275,752,2025-08-28,Returned,Credit Card
276,464,2024-03-16,Returned,UPI
277,1464,2025-11-16,Returned,Net Banking
278,1662,2024-04-16,Shipped,UPI
279,1093,2025-10-14,Cancelled,UPI
280,1684,2024-11-01,Cancelled,Wallet
281,1177,2023-07-01,Shipped,Net Banking
282,854,2025-01-05,Cancelled,Credit Card
283,1295,2023-01-08,Shipped,Credit Card
284,965,2025-09-24,Cancelled,Wallet
285,597,2024-03-10,Returned,UPI
286,62,2025-04-07,Cancelled,UPI
287,1410,2023-04-08,Cancelled,UPI
288,770,2025-10-23,Cancelled,Credit Card
289,853,2024-06-29,Delivered,Debit Card
290,541,2024-04-22,Shipped,UPI
291,28,2025-01-12,Returned,Credit Card
292,532,2023-12-21,Returned,Debit Card
293,959,2023-12-16,Shipped,Net Banking
294,1939,2025-01-08,Cancelled,UPI
295,1336,2021-11-18,Shipped,Net Banking
296,1854,2024-04-08,Cancelled,UPI
297,1945,2023-09-12,Delivered,Debit Card
298,1598,2024-09-07,Cancelled,Debit Card
299,1232,2023-05-30,Cancelled,Debit Card
300,918,2025-03-16,Cancelled,Net Banking
301,1825,2024-10-04,Returned,Net Banking
302,1656,2025-05-15,Returned,Wallet
303,1141,2023-10-04,Delivered,Credit Card
304,1472,2023-09-11,Cancelled,UPI
305,137,2023-11-27,Delivered,Wallet
306,543,2024-07-18,Shipped,Credit Card
307,1192,2025-09-25,Shipped,UPI
308,677,2023-03-27,Shipped,Credit Card
309,766,2025-09-30,Shipped,Debit Card
310,539,2025-01-07,Returned,Credit Card
311,1072,2025-04-14,Cancelled,UPI
312,685,2025-04-27,Delivered,Wallet
313,1010,2023-03-27,Returned,Debit Card
314,735,2022-10-25,Returned,Credit Card
315,1278,2024-11-20,Returned,Net Banking
316,846,2025-08-16,Returned,Debit Card
317,1488,2025-04-19,Cancelled,Wallet
318,1642,2024-04-20,Cancelled,Net Banking
319,163,2024-12-18,Shipped,Wallet
320,1825,2025-07-23,Shipped,Credit Card
321,1379,2024-08-09,Shipped,Net Banking
322,1987,2023-10-21,Returned,Net Banking
323,1107,2023-04-25,Returned,UPI
324,181,2025-08-26,Cancelled,Credit Card
325,1470,2025-01-13,Shipped,Credit Card
326,1127,2023-04-01,Delivered,Net Banking
327,374,2025-05-08,Cancelled,Wallet
328,1178,2023-04-20,Cancelled,Wallet
329,1951,2025-10-28,Cancelled,UPI
330,1519,2025-10-15,Cancelled,Credit Card
331,1096,2025-08-20,Returned,UPI
332,1546,2025-10-13,Cancelled,Net Banking
333,1452,2024-09-05,Cancelled,Debit Card
334,863,2022-08-25,Returned,Net Banking
335,1228,2024-02-03,Cancelled,Net Banking
336,203,2024-03-07,Shipped,Credit Card
337,1099,2025-02-19,Cancelled,Credit Card
338,1205,2021-02-12,Returned,Net Banking
339,301,2025-11-06,Returned,Wallet
340,813,2025-10-22,Delivered,Debit Card
341,1891,2025-11-08,Delivered,Credit Card
342,906,2022-11-18,Shipped,Wallet
343,936,2021-03-06,Returned,Net Banking
344,683,2024-01-21,Shipped,Credit Card
345,632,2021-11-30,Shipped,Credit Card
346,1008,2025-05-29,Delivered,Credit Card
347,855,2023-12-11,Cancelled,Wallet
348,1149,2025-04-02,Returned,Wallet
349,1115,2025-02-27,Shipped,UPI
350,847,2025-03-11,Cancelled,Credit Card
351,788,2025-03-21,Shipped,Net Banking
352,1650,2025-07-08,Cancelled,UPI
353,910,2025-08-17,Shipped,Wallet
354,382,2025-07-08,Returned,Credit Card
355,549,2022-09-22,Cancelled,Debit Card
356,1677,2024-08-18,Delivered,Debit Card
357,142,2025-02-19,Returned,Net Banking
358,302,2021-06-21,Delivered,Wallet
359,1661,2023-11-11,Shipped,UPI
360,1943,2025-06-19,Returned,Wallet
361,1408,2025-10-28,Returned,Wallet
362,95,2025-11-12,Shipped,Net Banking
363,1414,2023-12-27,Delivered,Debit Card
364,1355,2025-09-19,Returned,UPI
365,1935,2024-05-06,Cancelled,Wallet
366,1058,2024-03-16,Cancelled,Debit Card
367,1878,2025-01-12,Cancelled,Debit Card
368,1025,2024-12-12,Shipped,Net Banking
369,1475,2023-12-13,Returned,Wallet
370,1114,2024-04-03,Delivered,UPI
371,886,2025-08-06,Cancelled,Debit Card
372,1007,2025-07-15,Delivered,Net Banking
373,62,2025-06-10,Returned,Credit Card
374,1979,2025-07-12,Delivered,UPI
375,1129,2025-10-20,Shipped,Debit Card
376,225,2025-11-17,Returned,Net Banking
377,1884,2025-03-15,Returned,Wallet
378,1279,2024-09-17,Shipped,Debit Card
379,987,2025-11-20,Returned,UPI
380,211,2023-09-13,Cancelled,Net Banking
381,1941,2024-12-18,Cancelled,Debit Card
382,1061,2022-09-29,Delivered,UPI
383,596,2022-07-26,Returned,Wallet
384,1036,2025-04-04,Shipped,UPI
385,282,2022-10-17,Shipped,UPI
386,1691,2022-03-03,Shipped,Net Banking
387,841,2025-06-14,Shipped,Net Banking
388,1150,2022-05-04,Cancelled,Debit Card
389,1407,2023-12-19,Delivered,Debit Card
390,1285,2023-05-29,Shipped,Credit Card
391,1502,2025-09-07,Shipped,Net Banking
392,296,2023-11-30,Returned,Wallet
393,846,2025-07-28,Returned,UPI
394,1078,2024-12-31,Returned,Net Banking
395,1434,2024-09-17,Shipped,Wallet
396,1429,2025-10-31,Delivered,Wallet
397,125,2023-05-28,Cancelled,Debit Card
398,669,2024-06-03,Shipped,Debit Card
399,1775,2025-05-16,Returned,Net Banking
400,283,2025-11-02,Shipped,Net Banking
401,1085,2025-08-28,Shipped,Debit Card
402,12,2025-11-13,Returned,Credit Card
403,1535,2025-10-17,Shipped,Debit Card
404,248,2025-10-31,Returned,Debit Card
405,597,2024-06-28,Delivered,UPI
406,749,2023-01-30,Delivered,Debit Card
407,278,2023-12-11,Cancelled,Debit Card
408,1050,2025-10-19,Cancelled,Net Banking
409,1298,2024-01-03,Shipped,Wallet
410,1721,2025-08-27,Shipped,UPI
411,1149,2025-09-04,Shipped,Debit Card
412,1580,2025-09-21,Delivered,Wallet
413,507,2022-07-17,Returned,Credit Card
414,1789,2024-08-13,Cancelled,Debit Card
415,715,2024-10-14,Returned,UPI
416,1867,2025-09-30,Delivered,Wallet
417,74,2025-11-11,Cancelled,Net Banking
418,1244,2025-07-28,Delivered,Credit Card
419,855,2023-08-28,Returned,Wallet
420,1282,2024-12-14,Returned,Credit Card
421,699,2022-05-24,Shipped,Wallet
422,1884,2023-05-21,Delivered,UPI
423,570,2022-12-30,Delivered,UPI
424,983,2025-01-31,Delivered,Wallet
425,1238,2024-12-10,Shipped,Debit Card
426,414,2025-08-18,Returned,Credit Card
427,178,2025-08-04,Delivered,Wallet
428,164,2024-06-03,Shipped,Credit Card
429,1167,2025-07-04,Returned,Credit Card
430,687,2025-11-03,Delivered,Net Banking
431,921,2024-11-23,Returned,Credit Card
432,1322,2022-08-01,Delivered,Credit Card
433,988,2025-07-26,Shipped,UPI
434,145,2025-06-26,Cancelled,Debit Card
435,222,2025-08-23,Returned,Wallet
436,369,2025-03-25,Cancelled,UPI
437,1343,2025-11-10,Delivered,Debit Card
438,413,2024-04-07,Shipped,Debit Card
439,1213,2025-09-24,Shipped,Wallet
440,28,2024-11-24,Delivered,UPI
441,455,2025-10-25,Returned,Net Banking
442,1350,2025-02-11,Returned,Debit Card
443,162,2024-06-18,Returned,Debit Card
444,687,2025-11-16,Shipped,Credit Card
445,1703,2025-10-09,Shipped,Net Banking
446,1918,2024-10-05,Shipped,UPI
447,711,2022-08-20,Returned,Debit Card
448,1875,2024-06-05,Shipped,Net Banking
449,286,2022-07-13,Cancelled,Wallet
450,809,2025-11-10,Cancelled,Credit Card
451,1372,2025-01-19,Shipped,UPI
452,1645,2022-11-14,Returned,Wallet
453,1393,2023-10-02,Delivered,UPI
454,1604,2024-03-14,Shipped,Wallet
455,548,2022-11-07,Delivered,Wallet
456,817,2023-06-29,Returned,Wallet
457,1945,2025-10-08,Shipped,Debit Card
458,680,2024-10-13,Shipped,Credit Card
459,1472,2024-08-25,Cancelled,Net Banking
460,529,2025-10-02,Shipped,Credit Card
461,428,2024-11-12,Cancelled,UPI
462,1521,2025-05-08,Returned,Debit Card
463,986,2024-08-04,Shipped,Net Banking
464,1451,2023-09-20,Returned,UPI
465,952,2024-05-21,Delivered,Credit Card
466,842,2023-12-07,Cancelled,Wallet
467,1083,2025-02-09,Cancelled,Debit Card
468,891,2023-03-25,Cancelled,Debit Card
469,1806,2024-03-05,Delivered,UPI
470,1431,2025-08-09,Delivered,Net Banking
471,470,2024-01-30,Shipped,Wallet
472,1581,2023-02-03,Delivered,Credit Card
473,648,2025-02-09,Shipped,UPI
474,853,2025-08-22,Returned,UPI
475,873,2025-01-20,Returned,Credit Card
476,1518,2024-10-03,Cancelled,Credit Card
477,1865,2023-08-14,Cancelled,Net Banking
478,846,2025-10-30,Returned,Net Banking
479,743,2024-04-25,Cancelled,Net Banking
480,535,2023-08-25,Cancelled,Net Banking
481,25,2025-11-13,Shipped,Credit Card
482,1825,2024-03-16,Returned,Wallet
483,996,2025-10-16,Returned,Net Banking
484,21,2023-05-29,Shipped,Net Banking
485,629,2025-09-17,Delivered,Net Banking
486,1908,2025-11-09,Shipped,Wallet
487,471,2023-12-13,Cancelled,Debit Card
488,1540,2025-11-20,Shipped,Debit Card
489,997,2024-01-09,Shipped,Net Banking
490,1953,2025-11-02,Delivered,Net Banking
491,1669,2023-01-31,Delivered,Wallet
492,4,2024-08-17,Delivered,UPI
493,1743,2025-07-07,Cancelled,Wallet
494,1650,2025-05-21,Returned,Credit Card
495,1053,2023-09-12,Shipped,UPI
496,277,2024-10-11,Delivered,Debit Card
497,1549,2025-10-28,Cancelled,UPI
498,1747,2022-07-30,Returned,Wallet
499,221,2024-11-26,Cancelled,Debit Card
500,967,2021-12-18,Returned,Debit Card
501,1918,2024-06-22,Shipped,Credit Card
502,399,2024-04-07,Shipped,Credit Card
503,1335,2021-04-06,Delivered,Wallet
504,1192,2025-07-08,Shipped,Credit Card
505,1732,2024-07-31,Shipped,Credit Card
506,1445,2024-10-13,Cancelled,UPI
507,346,2023-02-24,Delivered,Wallet
508,1723,2025-05-13,Cancelled,Credit Card
509,249,2025-03-25,Delivered,Net Banking
510,250,2025-02-02,Shipped,Wallet
511,1517,2023-03-30,Returned,Credit Card
512,929,2025-10-24,Shipped,Debit Card
513,547,2025-11-13,Shipped,UPI
514,1811,2025-05-21,Delivered,Wallet
515,1841,2025-11-18,Delivered,Debit Card
516,315,2022-05-09,Cancelled,Net Banking
517,1475,2022-05-09,Returned,Net Banking
518,873,2025-05-15,Cancelled,UPI
519,1597,2025-10-13,Delivered,Net Banking
520,1296,2025-06-29,Delivered,Net Banking
521,1951,2025-10-06,Shipped,Net Banking
522,627,2025-10-25,Shipped,UPI
523,20,2025-06-13,Returned,Credit Card
524,213,2025-10-19,Delivered,Net Banking
525,1039,2023-07-02,Shipped,Wallet
526,687,2024-07-19,Returned,UPI
527,1809,2023-12-12,Cancelled,Net Banking
528,408,2025-10-13,Delivered,Credit Card
529,487,2025-01-19,Shipped,Net Banking
530,1918,2023-05-04,Shipped,UPI
531,188,2025-07-31,Cancelled,Wallet
532,1577,2024-05-05,Shipped,Net Banking
533,1146,2023-12-11,Returned,UPI
534,445,2024-07-20,Returned,UPI
535,674,2025-09-02,Cancelled,Credit Card
536,1450,2024-06-23,Cancelled,Net Banking
537,244,2023-02-19,Returned,Debit Card
538,1652,2024-09-10,Delivered,Wallet
539,1170,2023-03-05,Delivered,Net Banking
540,152,2024-06-12,Delivered,UPI
541,1378,2024-04-28,Shipped,Credit Card
542,629,2024-09-18,Shipped,Debit Card
543,62,2025-01-05,Cancelled,UPI
544,413,2024-12-29,Shipped,Wallet
545,134,2025-09-08,Shipped,Debit Card
546,1798,2025-03-21,Shipped,Net Banking
547,992,2022-08-26,Shipped,Credit Card
548,1081,2025-01-18,Cancelled,Net Banking
549,1857,2023-06-26,Delivered,Net Banking
550,294,2022-01-07,Returned,Wallet
551,105,2023-05-28,Returned,Debit Card
552,1881,2025-09-23,Cancelled,UPI
553,1868,2024-05-17,Shipped,Credit Card
554,550,2025-01-18,Delivered,Wallet
555,1605,2025-04-01,Shipped,Credit Card
556,458,2025-08-13,Cancelled,UPI
557,476,2023-08-05,Shipped,UPI
558,1701,2023-12-16,Cancelled,UPI
559,343,2024-03-24,Delivered,Debit Card
560,854,2023-04-16,Cancelled,Debit Card
561,676,2022-03-05,Cancelled,Debit Card
562,1007,2025-05-15,Returned,UPI
563,256,2025-01-26,Delivered,Debit Card
564,369,2025-05-28,Delivered,Net Banking
565,215,2024-11-09,Shipped,UPI
566,337,2024-08-18,Cancelled,Net Banking
567,1951,2025-01-06,Cancelled,Net Banking
568,277,2022-10-08,Delivered,Net Banking
569,1930,2025-09-20,Returned,UPI
570,1229,2025-05-10,Delivered,UPI
571,757,2025-05-20,Cancelled,Debit Card
572,1205,2025-06-14,Cancelled,Credit Card
573,1412,2025-05-12,Delivered,Net Banking
574,998,2024-11-21,Cancelled,UPI
575,1766,2025-08-08,Returned,Debit Card
576,1411,2021-09-27,Cancelled,Wallet
577,672,2024-05-16,Shipped,Debit Card
578,855,2024-01-22,Shipped,Wallet
579,803,2025-10-16,Returned,Credit Card
580,25,2025-06-29,Delivered,UPI
581,680,2023-09-02,Shipped,UPI
582,849,2024-09-08,Delivered,Credit Card
583,1110,2025-08-05,Shipped,UPI
584,803,2024-01-22,Returned,Wallet
585,311,2025-03-04,Shipped,Credit Card
586,1486,2024-06-06,Delivered,Debit Card
587,23,2025-05-07,Returned,UPI
588,965,2025-11-09,Returned,Wallet
589,199,2023-09-24,Cancelled,Debit Card
590,1407,2022-04-29,Delivered,UPI
591,817,2023-02-26,Cancelled,Credit Card
592,628,2025-09-13,Returned,Wallet
593,1546,2025-11-04,Returned,Net Banking
594,1594,2025-08-02,Shipped,Wallet
595,1650,2025-06-20,Shipped,Debit Card
596,1151,2022-12-22,Returned,Net Banking
597,413,2025-10-09,Cancelled,Credit Card
598,839,2023-04-10,Returned,UPI
599,996,2025-04-29,Cancelled,UPI
600,1511,2024-07-10,Cancelled,UPI
601,612,2025-10-31,Cancelled,Wallet
602,875,2023-05-30,Returned,Net Banking
603,704,2024-08-03,Shipped,Debit Card
604,1325,2025-10-16,Shipped,UPI
605,1623,2024-11-24,Delivered,Net Banking
606,444,2023-07-15,Shipped,Net Banking
607,1407,2022-03-17,Delivered,Debit Card
608,517,2025-01-21,Delivered,UPI
609,477,2025-09-02,Returned,Wallet
610,1040,2025-04-23,Shipped,Net Banking
611,1676,2023-08-21,Delivered,Net Banking
612,30,2025-07-25,Cancelled,Net Banking
613,358,2024-05-30,Returned,Net Banking
614,1654,2025-11-11,Delivered,UPI
615,232,2022-10-10,Shipped,Net Banking
616,1999,2024-04-25,Returned,Wallet
617,529,2025-03-23,Returned,Net Banking
618,1667,2023-11-18,Delivered,Debit Card
619,1939,2024-09-19,Shipped,Debit Card
620,677,2023-10-09,Delivered,Wallet
621,1349,2025-02-15,Delivered,Debit Card
622,479,2025-11-02,Returned,UPI
623,3,2023-01-30,Cancelled,Wallet
624,113,2025-11-09,Cancelled,Net Banking
625,68,2023-09-21,Returned,Net Banking
626,735,2025-09-04,Shipped,Wallet
627,1080,2025-07-19,Shipped,UPI
628,54,2023-06-22,Delivered,Credit Card
629,765,2022-06-05,Delivered,Credit Card
630,1399,2022-10-29,Cancelled,Debit Card
631,1377,2025-05-01,Shipped,Debit Card
632,751,2025-06-16,Shipped,Debit Card
633,1145,2025-08-19,Delivered,Wallet
634,1815,2023-08-24,Returned,Net Banking
635,546,2022-06-24,Cancelled,UPI
636,1869,2025-10-10,Shipped,Wallet
637,46,2023-04-18,Cancelled,UPI
638,1762,2025-07-10,Returned,Debit Card
